Name,Author,Genre,Price,Reviews,Year,User Rating
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,Non Fiction,9,1215.0,2010,4.4
George Washington's Sacred Fire,Peter A. Lillback,Non Fiction,20,408.0,2010,4.5
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,Non Fiction,14,3457.0,2010,4.5
Life,Keith Richards,Non Fiction,18,2752.0,2010,4.5
Little Bee: A Novel,Chris Cleave,Fiction,10,1467.0,2010,4.1
Mockingjay (The Hunger Games),Suzanne Collins,Fiction,8,26741.0,2010,4.5
Outliers: The Story of Success,Malcolm Gladwell,Non Fiction,20,10426.0,2010,4.6
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,Fiction,2,548.0,2010,4.8
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,Non Fiction,46,8580.0,2010,4.5
Radical: Taking Back Your Faith from the American Dream,David Platt,Non Fiction,9,1985.0,2010,4.7
Sarah's Key,Tatiana de Rosnay,Fiction,10,3619.0,2010,4.6
Sh*t My Dad Says,Justin Halpern,Non Fiction,11,1265.0,2010,4.7
StrengthsFinder 2.0,Gallup,Non Fiction,17,5069.0,2010,4.0
Switch: How to Change Things When Change Is Hard,Chip Heath,Non Fiction,13,1907.0,2010,4.6
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,Non Fiction,20,637.0,2010,4.4
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,Non Fiction,28,3477.0,2010,4.7
The Art of Racing in the Rain: A Novel,Garth Stein,Fiction,10,11813.0,2010,4.7
The Big Short: Inside the Doomsday Machine,Michael Lewis,Non Fiction,17,3536.0,2010,4.7
The Confession: A Novel,John Grisham,Fiction,13,3523.0,2010,4.3
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,Non Fiction,11,440.0,2010,4.4
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,Non Fiction,6,3207.0,2010,4.6
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,Fiction,14,7747.0,2010,4.7
